system:index,B11,B11_B12,B11_B12_change,B11_B12_wet,B11_change,B11_wet,B12,B12_change,B12_wet,B2,B2_change,B2_wet,B3,B3_change,B3_wet,B4,B4_B3,B4_B3_change,B4_B3_wet,B4_change,B4_wet,B8,B8_B4,B8_B4_change,B8_B4_wet,B8_change,B8_wet,NDVI,NDVI_change,NDVI_wet,elevation,slope,.geo,predicted_class,prospectivity_score,priority
957_0,0.2422,1.4696602,0.85857344,2.3282337,-0.0748,0.1674,0.1635,-0.09159999,0.0719,0.1153,-0.010300003,0.105,0.1035,-0.0042999983,0.0992,0.1096,1.0322306,-0.38404515,0.6481855,-0.0453,0.0643,0.1961,1.9570858,3.3632872,5.320373,0.146,0.3421,0.32365847,0.35990453,0.683563,698,14.169302,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.27828264709973,21.805121301782588]}",0,0.43257142857142866,Medium
958_0,0.2065,1.8428459,0.53563267,2.3784785,-0.0783,0.1282,0.1155,-0.061600003,0.0539,0.138,-0.023499995,0.1145,0.1228,-0.028800003,0.094,0.1091,0.8805268,-0.19967566,0.6808511,-0.045099996,0.064,0.2049,1.8840996,0.8291815,2.7132812,-0.03125,0.17365,0.3065427,0.15485008,0.4613928,99,2.69283,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4087987093186,18.385055352082745]}",1,0.5456333333333332,Medium
959_0,0.3528,1.364207,0.64669067,2.0108976,-0.15905002,0.19375,0.265,-0.16864999,0.09635,0.13185,-0.029650003,0.1022,0.13065,-0.0331,0.09755,0.1602,1.182894,-0.4673635,0.7155305,-0.0904,0.0698,0.22705,1.4273925,2.9515474,4.37894,0.07859999,0.30565,0.17606977,0.45210975,0.62817955,844,2.084425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.61394190023854,13.219203479225024]}",0,0.41137142857142867,Medium
960_0,0.1623,1.6164215,0.442847,2.0592685,-0.08065001,0.08165,0.1059,-0.06625,0.03965,0.13625,-0.0037500113,0.1325,0.1255,-0.006499991,0.119,0.114649996,0.90682876,-0.14842542,0.75840336,-0.024399996,0.09025,0.1367,1.1771652,-0.09184663,1.0853186,-0.038750008,0.09795,0.08136613,-0.040452227,0.040913902,339,0.99653906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.374285105281,21.468522564823]}",1,0.5744523809523809,Medium
961_0,0.0342,1.6367924,0.3201969,1.9569893,-0.016,0.0182,0.0182,-0.008900001,0.0093,0.1165,0.0030499995,0.11955,0.0943,-0.003200002,0.0911,0.0751,0.75842047,-0.05370039,0.7047201,-0.010899998,0.0642,0.0637,0.8074656,0.06013565,0.8676013,-0.007999998,0.0557,-0.10652176,0.035629366,-0.0708924,314,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.34311356492206,21.407886283144933]}",1,0.5478523809523811,Medium
962_0,0.2714,1.3402954,0.8080917,2.1483872,-0.1049,0.1665,0.1985,-0.12100001,0.0775,0.1485,-0.024699993,0.1238,0.1466,-0.027299993,0.1193,0.1629,1.1233063,-0.18952589,0.9337804,-0.0515,0.1114,0.2052,1.2658925,0.86516666,2.1310592,0.032199994,0.2374,0.11734558,0.24389294,0.3612385,415,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.53600930211363,21.79802461103804]}",0,0.47005238095238083,Medium
963_0,0.23175,1.6001011,0.28579092,1.885892,-0.049950004,0.1818,0.14905,-0.052649997,0.0964,0.10755,-0.015050001,0.0925,0.09515,-0.010449998,0.0847,0.102699995,1.0312952,-0.22728106,0.8040141,-0.034599997,0.0681,0.18630001,1.7590445,1.2879453,3.0469897,0.021199986,0.2075,0.27511057,0.23069495,0.5058055,877,12.012455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.70449208087778,13.406502215963945]}",1,0.6436666666666667,High
964_0,0.1374,1.9834183,0.58233845,2.5657568,-0.034,0.1034,0.0582,-0.017900001,0.0403,0.102,-0.018799998,0.0832,0.0866,-0.018699996,0.0679,0.0685,0.75888056,-0.097614005,0.66126657,-0.023599997,0.0449,0.1698,2.8204381,1.0993836,3.9198217,0.0062000006,0.176,0.47649983,0.11698139,0.5934812,501,3.3785794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.58231205367383,15.319284950439641]}",0,0.28795714285714286,Low
965_0,0.34685,1.4817507,0.49986365,1.9816144,-0.1259,0.22095,0.2339,-0.12239999,0.1115,0.1278,-0.017900005,0.1099,0.13365,-0.023650005,0.11,0.1552,1.1742461,-0.36788246,0.8063636,-0.06650001,0.0887,0.24535,1.5896124,2.3574004,3.9470127,0.10475001,0.3501,0.22768237,0.36803323,0.5957156,774,4.2347136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.74383829032222,13.501723636080614]}",0,0.4960285714285716,Medium
966_0,0.164,1.3397049,0.8153528,2.1550577,0.013899997,0.1779,0.11655,-0.034,0.08255,0.12655,-0.005150005,0.1214,0.11395,-0.0021499991,0.1118,0.116500005,1.0288606,-0.32537222,0.70348835,-0.037850007,0.07865,0.15439999,1.2294255,2.6110067,3.8404324,0.14765,0.30205,0.1029053,0.48390847,0.58681375,338,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.94102764375016,21.209628099939756]}",0,0.35177142857142857,Low
967_0,0.2108,1.5837716,0.36420545,1.9479771,-0.0423,0.1685,0.1331,-0.046600007,0.0865,0.1289,-0.014800005,0.1141,0.1113,-0.015100002,0.0962,0.1043,0.9802198,-0.20267299,0.7775468,-0.0295,0.0748,0.1777,1.6889117,1.13796,2.8268716,0.033749998,0.21145,0.25620463,0.22117527,0.47737992,280,2.7258604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.05559028816651,21.963224791787624]}",1,0.6715999999999999,High
968_0,0.1552,2.0697927,0.484156,2.5539486,-0.040400006,0.1148,0.0747,-0.029749997,0.04495,0.1099,-0.013999999,0.0959,0.094,-0.012999997,0.081,0.0737,0.77625,-0.12810189,0.6481481,-0.021200005,0.0525,0.1897,2.648575,1.5457108,4.194286,0.030499995,0.2202,0.45184082,0.16312069,0.6149615,110,12.346734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.10530663780636,15.41163176164713]}",0,0.24659047619047622,Low
969_0,0.2012,1.8595194,0.5204806,2.3799999,-0.0703,0.1309,0.1082,-0.0532,0.055,0.1179,-0.017300002,0.1006,0.1014,-0.018750004,0.08265,0.0945,0.99211043,-0.3514571,0.6406534,-0.04155,0.05295,0.1836,1.9866961,2.29659,4.283286,0.0432,0.2268,0.33036375,0.29108396,0.62144774,615,3.8364003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.47409250762854,21.82730968930034]}",0,0.3950000000000001,Low
970_0,0.1285,2.00967,0.37297738,2.3826473,-0.021399997,0.1071,0.0637,-0.018749997,0.04495,0.1111,-0.009150006,0.10195,0.0947,-0.012000002,0.0827,0.0757,0.8220408,-0.12433824,0.6977025,-0.018,0.0577,0.18355,2.4595134,0.9131035,3.372617,0.011050001,0.1946,0.4216857,0.120922305,0.542608,702,7.5389514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.2847505171454,21.93771263771863]}",0,0.3035571428571428,Low
971_0,0.1995,1.4891201,0.5056784,1.9947985,-0.04609999,0.1534,0.1387,-0.061799996,0.0769,0.1338,-0.009000003,0.1248,0.1231,-0.012899995,0.1102,0.1244,1.0067227,-0.25445408,0.7522686,-0.041499995,0.0829,0.1835,1.5056949,1.6294076,3.1351025,0.0764,0.2599,0.20181821,0.31451783,0.516336,294,2.7802885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.02223991971641,21.719422023677584]}",1,0.6425333333333334,High
972_0,0.3039,1.6510975,0.9374192,2.5885167,-0.1416,0.1623,0.18625,-0.12355,0.0627,0.12885,-0.01015,0.1187,0.1141,-0.015299998,0.0988,0.1257,1.1075002,-0.4313869,0.6761133,-0.0589,0.0668,0.2137,1.6418576,2.527304,4.169162,0.064799994,0.2785,0.24294649,0.37014356,0.61309004,418,1.9936285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.24914978620316,21.552694706945]}",0,0.4272714285714286,Medium
973_0,0.2092,1.6368802,0.39584252,2.0327227,-0.05389999,0.1553,0.138,-0.0616,0.0764,0.1374,-0.008599997,0.1288,0.1203,-0.0029000044,0.1174,0.1174,1.0092081,-0.23493212,0.77427596,-0.026500002,0.0909,0.2227,1.6431718,1.3568285,3.0000002,0.050000012,0.2727,0.24333334,0.2566667,0.50000006,298,1.3605909,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.30017409434114,21.348956800506695]}",1,0.5324333333333334,Medium
974_0,0.13625,1.5023472,0.28485,1.7871972,-0.032950006,0.1033,0.0964,-0.0386,0.0578,0.11595,0.001349993,0.1173,0.0963,0.003200002,0.0995,0.0828,0.8897986,-0.1149242,0.7748744,-0.0056999996,0.0771,0.084199995,1.0487556,0.19378646,1.2425421,0.011600003,0.0958,0.023792481,0.0843625,0.10815498,614,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.63172854286411,14.854496622436201]}",1,0.606319047619048,High
975_0,0.1278,1.7876984,0.5538434,2.3415418,-0.01845,0.10935,0.0683,-0.0216,0.0467,0.116,-0.0101,0.1059,0.0972,-0.012850001,0.08435,0.0806,0.8368263,-0.09468046,0.74214584,-0.018,0.0626,0.1491,2.06383,0.772432,2.836262,0.028449997,0.17755,0.34722224,0.13143693,0.47865915,504,1.3641183,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.30307614894143,22.043983335829967]}",0,0.47612380952380945,Medium
976_0,0.16,1.9582028,0.45134005,2.4095428,-0.038799994,0.1212,0.0814,-0.031100001,0.0503,0.1022,-0.017099999,0.0851,0.0893,-0.017399997,0.0719,0.06649999,0.79990524,-0.17125434,0.6286509,-0.021299992,0.0452,0.1776,2.6217897,2.1149359,4.736726,0.036500007,0.2141,0.44776627,0.20360279,0.6513691,668,4.7388897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40803888855464,15.467417140790952]}",0,0.2823904761904763,Low
977_0,0.2138,1.749616,0.056580283,1.8061963,0.06019999,0.274,0.1218,0.029900007,0.1517,0.1427,-0.012999997,0.1297,0.1236,-0.0079,0.1157,0.1029,0.8395437,0.07834742,0.91789114,0.0033000037,0.1062,0.2442,2.334608,0.0646385,2.3992467,0.010599986,0.2548,0.40022936,0.011404963,0.41163433,41,1.3464394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.72392771098772,18.208805893338493]}",1,0.5442047619047617,Medium
